commit_id	validation_f1	validation_accuracy	validation_bal_acc	test_f1	test_accuracy	test_bal_acc	headline_score	promotion_gate	status	description
uncommitted	0.5501	0.5035	0.6058	0.5804	0.5154	0.5560	0.5730	pass	baseline	initial IWM 60d plus10/minus5 drop-neutral baseline is the cleanest of the new macro basket and already passes the promotion gate on the first run
uncommitted	0.4987	0.5536	0.6034	0.5500	0.5281	0.5605	0.5482	fail	reject	60d plus8/minus4 kept decent balance on IWM but did not beat the baseline on headline quality
uncommitted	0.5250	0.6583	0.6341	0.5139	0.5872	0.5633	0.5429	fail	reject	60d plus12/minus6 made IWM cleaner but still failed to outperform the default 10 over 5 baseline
uncommitted	0.4545	0.5000	0.6287	0.5103	0.4659	0.5364	0.5325	fail	reject	keep-all-binary reduced the need for neutral filtering on paper but still trailed the drop-neutral baseline on headline quality and test balance
uncommitted	0.5270	0.0000	0.5753	0.5924	0.0000	0.5643	0.5692	fail	candidate	rs_vs_benchmark_60 versus SPY is the strongest IWM feature add-on so far, but the default baseline still edges it out on headline score
uncommitted	0.5501	0.5035	0.6058	0.5804	0.5154	0.5560	0.5730	pass	validated	IWM baseline still holds after rule and walk-forward validation, while rs_vs_benchmark_60 remains only a sidecar rather than a replacement
uncommitted	0.5475	0.5379	0.6149	0.5726	0.5672	0.5865	0.5804	pass	candidate	relative-strength plus trend-quality stack with ret_20_vs_benchmark price_ratio_benchmark_z_20 trend_quality_20 percent_up_days_20 bollinger_bandwidth_20 distance_from_60d_low and atr_pct_20_percentile finally beats the baseline on headline score while keeping test balance strong
uncommitted	0.5475	0.5379	0.6149	0.5726	0.5672	0.5865	0.5804	pass	discard	relative-strength plus trend-quality stack beat the static split baseline, but threshold remained the only decent operating rule and 4-fold walk-forward still broke in the first two folds with test_bal_acc falling to 0.4491 and 0.5009, so it cannot replace the validated baseline yet
uncommitted	0.5470	0.0000	0.6190	0.5496	0.0000	0.5738	0.5725	pass	discard	anti-overprediction threshold controls are now available repo-wide, but on IWM they did not rescue the context stack: caps and target-positive-rate penalties reduced early-fold positive rate without producing a cleaner walk-forward line, and the best neg-weight plus cap variants still left fold 1 and fold 2 below useful balanced-accuracy levels
uncommitted	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	fail	candidate	structural gating on top of the IWM context stack found only a very sparse side candidate rather than a true breakthrough: `fixed_0.49 + above_200dma + ret_20_vs_benchmark>0` kept all three walk-forward folds near fifty-fifty balanced accuracy at 0.5025 0.5522 and 0.4978, but it produced only 8 total trades and the third fold still lost money
uncommitted	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	fail	candidate	the cleaner second-stage IWM operator is now `fixed_0.49 + ret_20_vs_benchmark>0`: it stayed near break-even balanced accuracy across all three walk-forward folds at 0.5025 0.5931 and 0.4994 while lifting average fold return to 5.80 percent with 12 total trades, but the static split stayed far too sparse at only 4 test trades and 0.4948 balanced accuracy so it remains a selective side candidate rather than a full breakthrough
uncommitted	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	fail	discard	recent live-like comparison shows the `fixed_0.49 + ret_20_vs_benchmark>0` side operator is currently dormant rather than actionable: over the latest 60 saved test rows it selected 0 times while the validated baseline selected 41 times, and its full test-period activity was concentrated in only 14 dates ending on 2025-04-04
