commit_id	validation_f1	validation_accuracy	validation_bal_acc	test_f1	test_accuracy	test_bal_acc	headline_score	promotion_gate	status	description
uncommitted	0.5725	0.4044	0.5040	0.5765	0.4080	0.4996	0.5454	fail	baseline	MU default baseline with 60d plus12/minus6 drop-neutral label; threshold 0.451 and test_positive_rate 0.9911 indicate an almost-all-positive model
uncommitted	0.5958	0.4254	0.5017	0.6187	0.4487	0.4969	0.5659	fail	candidate	60d plus15/minus8 improved headline_score over the default baseline but still behaved like a near-all-positive MU classifier with test_positive_rate 0.9949
uncommitted	0.7031	0.6193	0.6215	0.7318	0.5962	0.4702	0.6366	fail	candidate	future-return-top-bottom-20pct with ret_60 plus distance_to_252_high produced the cleanest logistic separation so far and cut test_positive_rate to 0.8094, but test_bal_acc still collapsed below the promotion gate
uncommitted	0.6131	0.5985	0.5988	0.6265	0.5321	0.5117	0.5866	fail	candidate	adding neg_weight 1.15 and max_positive_rate 0.55 to the tb20 ret_60 plus distance_to_252_high line reduced test_positive_rate further to 0.5566 and modestly improved test_bal_acc, but it still stayed well short of promotion
uncommitted	0.4673	0.4109	0.4194	0.8367	0.7294	0.5298	0.6290	fail	candidate	xgboost with future-return-top-bottom-30pct plus ret_60 and distance_to_252_high gave the best MU test_bal_acc so far at 0.5298, but validation balance was too weak to trust as an adopted line
uncommitted	0.6572	0.6138	0.6008	0.7613	0.6464	0.5598	0.6640	pass	candidate	future-return-top-bottom-20pct with ret_60 plus vol_ratio_20_120 is the strongest MU static logistic line so far; it clears the gate with headline_score 0.6640, and its best operator rule is top_15pct with 12 walk-forward trades at 83.33% hit rate and 21.62% avg_return, but the underlying model still degrades in later folds
uncommitted	0.7213	0.6286	0.7249	0.4430	0.6206	0.5712	0.5653	pass	candidate	future-return-top-bottom-30pct with ret_60 plus rolling_return_120 plus distance_to_252_high gives the cleanest low-positive-rate MU classifier so far and clears the gate, but the fold profile is unstable with one nearly all-positive walk-forward segment
uncommitted	0.6707	0.6107	0.6255	0.6759	0.6186	0.5606	0.6352	pass	adopted	future-return-top-bottom-30pct with ret_60 plus vol_ratio_20_120 is the adopted MU balance-first live reference; the current live execution layer uses the stricter top 12.5% overlay on this model while the stronger tb20 line remains a research-side execution candidate
uncommitted	0.0825	0.5401	0.5100	0.2865	0.3582	0.5732	0.3541	fail	candidate	current-data probe: the wired tb30 plus ret_60 plus vol_ratio_20_120 line no longer passes with F1-driven thresholding, but switching threshold selection to balanced_accuracy lifts test_bal_acc to 0.5732 while cutting test_positive_rate to 0.1340; this looks like a better live control setting even though validation balance still misses the promotion gate
uncommitted	0.0523	0.3029	0.5134	0.4762	0.4737	0.6562	0.4492	fail	candidate	current-data probe: tb20 plus ret_60 plus vol_ratio_20_120 with balanced_accuracy thresholding is now the strongest MU execution-side discriminator on the held-out split; in fresh 4-fold checks its best balanced-threshold operator is top_12.5pct at 8 trades, 75% hit rate, and 38.35% average return, while top_15pct no longer looks like the cleanest rule on the current window
uncommitted	0.0523	0.3029	0.5134	0.4762	0.4737	0.6562	0.4492	fail	candidate	fresh mu0418 cutoff sweep: the main MU challenger still comes from tb20 plus ret_60 plus vol_ratio_20_120, but the cleanest exact execution rule tightened from top_12.5pct to top_11.5pct. Versus the prior top_12.5pct challenger, top_11.5pct lifted held-out avg_return from 17.31% to 31.20% and held-out hit rate from 57.14% to 66.67%, while keeping the same 16 forward episodes and the same 5.41% weakest-fold avg_return; forward mean avg_return improved from 19.70% to 20.85%. Top_11pct was slightly hotter at 21.39% forward mean avg_return, but its weakest fold slipped back to -1.64%, so top_11.5pct is the better next challenger rule; live/control tb30 + top_12.5pct stays unchanged
